C N C N N N
56 Self-emp-not-inc 10 Married-civ-spouse Husband 0
22 Private 12 Never-married Not-in-family 0
57 Private 13 Divorced Not-in-family 1
39 Private 9 Divorced Unmarried 0
26 Federal-gov 10 Never-married Unmarried 0
17 Private 7 Never-married Own-child 0
40 State-gov 11 Married-civ-spouse Husband 1
45 Private 9 Married-civ-spouse Husband 0
44 Private 9 Never-married Not-in-family 0
20 Local-gov 10 Never-married Own-child 0
33 Private 9 Married-civ-spouse Wife 0
23 Private 10 Never-married Not-in-family 0
46 Self-emp-not-inc 14 Divorced Not-in-family 0
38 Private 9 Married-civ-spouse Husband 0
54 Private 9 Divorced Not-in-family 0
46 Private 3 Divorced Not-in-family 0
25 Private 10 Married-civ-spouse Husband 0
46 Private 10 Divorced Not-in-family 0
36 Local-gov 10 Married-civ-spouse Wife 0
23 Private 9 Never-married Not-in-family 0
29 Private 9 Separated Not-in-family 0
44 Private 10 Married-civ-spouse Wife 1
19 Private 10 Never-married Own-child 0
19 Private 9 Never-married Other-relative 0
35 Private 9 Married-civ-spouse Wife 1
27 Private 13 Never-married Not-in-family 0
46 Self-emp-not-inc 12 Separated Not-in-family 0
34 State-gov 13 Married-civ-spouse Husband 1
34 Private 9 Never-married Not-in-family 0
44 Private 10 Married-civ-spouse Husband 0
45 Private 10 Divorced Unmarried 0
25 Private 13 Married-civ-spouse Husband 1
52 Self-emp-inc 13 Married-civ-spouse Husband 1
20 Private 10 Never-married Own-child 0
28 Private 10 Never-married Not-in-family 0
50 State-gov 13 Married-civ-spouse Husband 1
34 Private 11 Divorced Not-in-family 0
28 Private 4 Married-civ-spouse Husband 0
41 Private 14 Married-civ-spouse Husband 1
28 Private 9 Married-civ-spouse Husband 0
46 Self-emp-not-inc 9 Married-civ-spouse Husband 0
32 Private 10 Married-civ-spouse Husband 0
41 Local-gov 10 Divorced Not-in-family 0
24 Private 9 Never-married Unmarried 0
33 Private 10 Divorced Unmarried 0
46 Private 16 Married-civ-spouse Husband 1
31 State-gov 10 Married-civ-spouse Husband 0
35 Private 8 Divorced Not-in-family 1
52 Private 2 Married-civ-spouse Husband 0
30 Private 7 Never-married Own-child 0
34 Local-gov 7 Separated Not-in-family 0
34 State-gov 9 Divorced Unmarried 0
20 Private 10 Married-civ-spouse Husband 0
17 Private 7 Never-married Own-child 0
32 State-gov 13 Married-civ-spouse Wife 1
29 Private 9 Divorced Not-in-family 0
33 Private 6 Never-married Unmarried 0
25 Private 9 Married-civ-spouse Husband 0
36 Federal-gov 14 Never-married Not-in-family 0
23 Private 9 Never-married Not-in-family 0
63 Self-emp-inc 9 Married-civ-spouse Husband 1
47 Local-gov 14 Married-civ-spouse Husband 0
40 Self-emp-not-inc 13 Married-spouse-absent Not-in-family 0
30 Private 12 Married-civ-spouse Wife 1
27 Private 10 Never-married Own-child 0
33 Private 14 Married-civ-spouse Husband 1
34 Local-gov 9 Never-married Not-in-family 0
34 Local-gov 10 Never-married Not-in-family 0
23 Private 10 Married-civ-spouse Husband 0
42 Local-gov 10 Married-civ-spouse Wife 0
29 Private 13 Never-married Not-in-family 0
45 Private 9 Divorced Not-in-family 0
24 Federal-gov 9 Never-married Own-child 0
44 Private 10 Married-civ-spouse Husband 1
27 Private 5 Never-married Other-relative 0
20 Private 10 Never-married Not-in-family 0
44 Private 9 Widowed Unmarried 0
51 Private 9 Married-civ-spouse Husband 0
20 Private 9 Married-civ-spouse Husband 0
19 Private 9 Never-married Own-child 0
45 Self-emp-inc 10 Married-civ-spouse Husband 1
60 Private 9 Married-civ-spouse Husband 1
42 Private 12 Married-civ-spouse Husband 1
44 Self-emp-not-inc 9 Married-civ-spouse Wife 1
40 Private 11 Married-civ-spouse Husband 1
30 Private 9 Married-civ-spouse Wife 0
38 Private 10 Married-civ-spouse Husband 0
23 Private 9 Married-civ-spouse Husband 0
44 Private 12 Never-married Own-child 0
54 Local-gov 9 Married-civ-spouse Husband 0
32 Private 13 Married-civ-spouse Husband 0
50 Private 2 Married-spouse-absent Unmarried 0
24 Private 13 Never-married Not-in-family 0
37 Private 9 Married-civ-spouse Wife 0
52 Private 9 Divorced Unmarried 0
38 Private 10 Married-civ-spouse Husband 0
49 Private 14 Married-civ-spouse Husband 1
30 Private 13 Married-civ-spouse Wife 1
60 Private 10 Never-married Unmarried 1
35 Private 9 Never-married Not-in-family 0
30 Private 9 Never-married Not-in-family 0
67 Private 11 Divorced Not-in-family 0
46 Private 13 Never-married Not-in-family 0
17 Private 5 Never-married Not-in-family 0
22 Private 10 Never-married Own-child 0
27 Private 6 Never-married Not-in-family 0
23 Private 9 Never-married Unmarried 0
33 Private 12 Married-civ-spouse Husband 0
43 Self-emp-not-inc 10 Married-civ-spouse Husband 0
28 State-gov 13 Never-married Not-in-family 0
41 Private 9 Married-spouse-absent Unmarried 0
25 Private 10 Married-spouse-absent Own-child 0
59 Local-gov 9 Married-civ-spouse Husband 0
45 Local-gov 13 Divorced Unmarried 0
38 Private 13 Married-civ-spouse Husband 1
40 Private 9 Never-married Not-in-family 0
46 Federal-gov 9 Divorced Not-in-family 0
35 Private 12 Never-married Not-in-family 0
34 Private 9 Divorced Unmarried 0
33 Private 13 Never-married Own-child 0
41 Private 9 Divorced Unmarried 0
20 Private 10 Never-married Own-child 0
23 Private 3 Never-married Own-child 0
26 Private 10 Never-married Not-in-family 0
23 Local-gov 9 Never-married Not-in-family 0
62 Local-gov 9 Married-civ-spouse Husband 0
52 Private 10 Married-civ-spouse Husband 0
58 Private 10 Divorced Unmarried 0
25 Private 13 Never-married Not-in-family 0
24 Private 13 Never-married Not-in-family 0
19 Private 10 Never-married Own-child 0
43 Private 10 Married-civ-spouse Husband 0
47 Local-gov 9 Separated Unmarried 0
39 Private 9 Divorced Unmarried 0
49 Private 11 Married-spouse-absent Unmarried 0
32 Private 11 Never-married Not-in-family 0
34 Private 10 Married-civ-spouse Husband 1
28 Private 9 Divorced Not-in-family 0
25 Private 10 Never-married Not-in-family 0
34 Private 13 Married-civ-spouse Husband 1
38 Self-emp-inc 13 Married-civ-spouse Husband 1
50 Private 9 Married-civ-spouse Husband 1
24 Local-gov 10 Divorced Not-in-family 0
37 Local-gov 10 Married-civ-spouse Husband 1
44 Private 10 Divorced Unmarried 1
28 Private 10 Married-civ-spouse Wife 0
42 Private 13 Married-civ-spouse Husband 1
74 Private 10 Divorced Not-in-family 0
38 Self-emp-not-inc 9 Married-civ-spouse Husband 0
44 Self-emp-not-inc 14 Married-civ-spouse Husband 0
44 Private 7 Divorced Unmarried 0
26 Private 9 Never-married Not-in-family 0
36 Private 9 Married-civ-spouse Husband 0
41 Private 12 Married-civ-spouse Wife 1
67 Private 15 Married-civ-spouse Husband 1
39 Local-gov 8 Married-civ-spouse Husband 0
57 Private 2 Widowed Not-in-family 0
29 Private 11 Separated Not-in-family 0
31 Self-emp-inc 13 Never-married Not-in-family 0
44 Private 10 Married-civ-spouse Husband 0
29 Private 16 Never-married Own-child 0
30 Private 10 Never-married Unmarried 0
27 Private 9 Never-married Not-in-family 0
27 Private 10 Married-civ-spouse Husband 0
32 Private 9 Never-married Not-in-family 0
58 Private 6 Married-civ-spouse Wife 0
35 Local-gov 10 Married-civ-spouse Husband 0
21 Private 9 Never-married Own-child 0
28 Private 10 Never-married Unmarried 0
46 Self-emp-not-inc 10 Divorced Not-in-family 0
36 Self-emp-not-inc 9 Separated Unmarried 0
72 Private 7 Widowed Unmarried 0
35 Private 9 Married-civ-spouse Wife 0
33 Federal-gov 11 Divorced Unmarried 1
69 Private 7 Never-married Not-in-family 0
35 Private 9 Married-civ-spouse Husband 0
31 Private 9 Separated Unmarried 0
34 Private 9 Married-civ-spouse Wife 0
30 Private 7 Married-civ-spouse Husband 0
28 Private 13 Never-married Not-in-family 0
54 Private 13 Married-civ-spouse Husband 1
47 Private 10 Married-civ-spouse Husband 1
24 Private 9 Never-married Unmarried 0
52 Self-emp-not-inc 13 Married-civ-spouse Husband 1
20 Private 9 Never-married Own-child 0
43 Self-emp-inc 14 Married-civ-spouse Husband 0
45 Private 4 Separated Unmarried 0
29 Self-emp-not-inc 9 Separated Not-in-family 0
47 Private 14 Divorced Unmarried 0
24 Private 9 Never-married Own-child 0
51 Private 9 Married-civ-spouse Husband 0
17 Private 7 Never-married Own-child 0
37 Private 11 Married-civ-spouse Husband 1
27 Private 16 Never-married Not-in-family 0
29 Private 13 Married-civ-spouse Wife 1
36 Self-emp-not-inc 12 Divorced Unmarried 0
58 Local-gov 13 Never-married Not-in-family 0
26 Self-emp-not-inc 10 Married-civ-spouse Husband 0
57 Private 9 Married-civ-spouse Husband 1
59 Private 9 Married-civ-spouse Husband 0
27 Private 9 Married-civ-spouse Husband 0
31 Self-emp-not-inc 13 Never-married Not-in-family 0
21 Private 10 Never-married Own-child 0
29 Private 10 Never-married Not-in-family 0
18 Private 7 Never-married Own-child 0
52 Private 6 Married-civ-spouse Husband 1
57 Self-emp-inc 13 Divorced Not-in-family 0
60 Private 4 Never-married Not-in-family 1
31 Private 13 Married-civ-spouse Husband 1
23 Private 13 Never-married Own-child 0
27 Private 9 Never-married Own-child 0
42 Self-emp-not-inc 15 Married-civ-spouse Husband 1
25 Private 10 Never-married Not-in-family 0
49 Private 13 Never-married Not-in-family 0
32 Private 13 Never-married Not-in-family 0
19 Private 10 Never-married Own-child 0
60 Private 4 Divorced Not-in-family 0
42 Local-gov 5 Married-civ-spouse Husband 0
35 Self-emp-not-inc 12 Never-married Not-in-family 0
48 Private 9 Never-married Unmarried 0
51 Private 14 Married-civ-spouse Husband 1
29 Private 9 Never-married Not-in-family 0
36 Local-gov 9 Separated Not-in-family 0
17 Private 6 Never-married Own-child 0
52 Private 14 Divorced Not-in-family 0
24 Private 9 Never-married Not-in-family 0
24 Private 9 Married-civ-spouse Husband 0
26 Local-gov 13 Never-married Own-child 0
27 Private 13 Never-married Own-child 0
39 Private 9 Never-married Own-child 0
30 Private 9 Married-civ-spouse Husband 0
50 Self-emp-not-inc 9 Married-civ-spouse Husband 0
52 Self-emp-inc 13 Married-civ-spouse Husband 0
46 Private 15 Married-civ-spouse Husband 1
23 Private 13 Never-married Own-child 0
45 Private 7 Widowed Not-in-family 0
65 Private 5 Widowed Unmarried 0
29 Private 11 Married-civ-spouse Husband 0
47 Private 5 Married-spouse-absent Unmarried 0
30 Private 9 Never-married Own-child 0
34 Private 9 Married-civ-spouse Husband 1
38 Self-emp-not-inc 9 Married-civ-spouse Husband 0
33 Private 10 Married-civ-spouse Husband 1
49 Private 13 Married-civ-spouse Husband 1
47 Self-emp-not-inc 10 Never-married Unmarried 0
49 Local-gov 6 Separated Unmarried 0
43 Private 10 Married-civ-spouse Husband 1
30 Private 13 Married-civ-spouse Wife 1
58 Self-emp-not-inc 9 Married-civ-spouse Husband 0
19 Private 9 Never-married Own-child 0
21 Private 13 Never-married Not-in-family 0
33 Private 13 Married-civ-spouse Husband 1
47 Self-emp-inc 3 Married-civ-spouse Husband 0
52 Self-emp-not-inc 16 Married-civ-spouse Husband 1
26 Private 9 Divorced Not-in-family 0
60 Private 9 Married-civ-spouse Husband 0
21 Private 10 Never-married Own-child 0
36 Private 10 Married-civ-spouse Husband 1
31 Private 10 Married-civ-spouse Husband 0
50 Self-emp-inc 16 Separated Not-in-family 1
31 Local-gov 9 Divorced Unmarried 0
71 Private 9 Married-civ-spouse Husband 0
30 State-gov 13 Married-civ-spouse Husband 1
20 Private 10 Never-married Own-child 0
24 Private 9 Never-married Other-relative 0
35 Private 16 Married-civ-spouse Husband 1
38 State-gov 10 Separated Not-in-family 0
27 Private 9 Never-married Own-child 0
29 State-gov 10 Never-married Unmarried 0
34 Private 9 Married-civ-spouse Husband 0
44 Private 4 Married-civ-spouse Husband 0
43 Private 9 Married-civ-spouse Husband 1
44 Self-emp-not-inc 8 Married-civ-spouse Husband 1
35 Private 14 Never-married Not-in-family 0
27 Private 10 Never-married Not-in-family 0
43 Local-gov 14 Never-married Not-in-family 0
20 Private 10 Never-married Not-in-family 0
42 Private 12 Divorced Unmarried 1
27 State-gov 10 Married-civ-spouse Husband 0
42 Private 9 Married-civ-spouse Husband 1
24 Private 5 Never-married Not-in-family 0
48 Federal-gov 10 Divorced Not-in-family 0
17 Self-emp-not-inc 7 Never-married Own-child 0
33 Private 13 Married-civ-spouse Husband 1
50 Self-emp-inc 9 Married-civ-spouse Husband 1
22 Private 9 Never-married Own-child 0
17 Private 8 Never-married Own-child 0
32 Private 10 Married-civ-spouse Husband 0
31 Private 9 Never-married Not-in-family 0
58 Self-emp-not-inc 9 Widowed Not-in-family 0
29 Local-gov 9 Never-married Own-child 0
37 Private 11 Married-civ-spouse Husband 1
